camp_name,agency,governorate,district,coordinates_latitude,coordinates_longitude,site_typology,priorityneeds/urgent,background/ownerofthesite,background/date_first_occupied,background/recentinflux,background/totalpopulationfirstarrived,background/reasonfordisplacement,background/sitemanagement,background/awareofhumanitarianorganizationonsite,hh/total_families,hh/total_population,ind_ages/ind_age_groups/males_0_4,ind_ages/ind_age_groups/females_0_4,ind_ages/ind_age_groups/males_5_17,ind_ages/ind_age_groups/females_5_17,ind_ages/ind_age_groups/males_18_59,ind_ages/ind_age_groups/females_18_59,ind_ages/ind_age_groups/males_60_over,ind_ages/ind_age_groups/females_60_over,vulnerabilities_groups/F_HoH,vulnerabilities_groups/Child_HoH,vulnerabilities_groups/unaccompanied,vulnerabilities_groups/ppl_physical_dis,vulnerabilities_groups/ppl_mental_dis,vulnerabilities_groups/ppl_chronic_disease,vulnerabilities_groups/preg_or_lac,vulnerabilities_groups/elderly_at_risk,vulnerabilities_groups/widow,shelter_type/tent,shelter_type/makeshift_improvised,shelter_type/singlefamily,shelter_type/multiplefamily,shelter_type/prefab,shelter_type/school,shelter_type/religiousbuilding,shelter_type/privatebuilding,shelter_type/publicbuilding,shelter_type/militaryspace,shelter_type/others,,protection/fallinghazardsinthesite,protection/riskofunexplodedmines,protection/opentoelements,protection/damagetoprimarybuilding,protection/otherbasicneeds,protection/anyincidents,protection/securitystafforpoliceofficersstationed,protection/tensionbetweenresidentsandhostcommunity,protection/threatsofeviction,protection/sufficientandreliableaccesstofood,Which of the following statements describes best the access to electricity at the site?,wash,wash/functionallatrines,wash/functionalshowers,wash/solidwastevisible,nfi/blankets,nfi/mattress,nfi/jerrycan,nfi/kerosene,nfi/kitchen,nfi/hygienekits,nfi/femalehyginekits,nfi/tarpaulin,nfi/solarlatrines,nfi/electricityaccess,nfi/others,health/functionalclinic,health/clinicemergencyservices,health/clinicprenatalservices,health/clinicdispensemedication,health/functionalhospital,health/hospitalemergencyservices,health/hospitlapediatricservices,health/hospitalprenatalservices,health/hospitaldipensemedication,education/primaryschool,education/primaryschooldistance,education/primarysufficientteachers,education/secondaryschool,educaton/secondschooldistance,education/secondarysufficientteachers,assistance/recent,Do you know their name?,Please add any additional comments based on observations or additional information provided by the key informant that would be useful for CCCM actors to know.,_id,_uuid,_submission_time,_validation_status,_index
Salam Thaaer Houses,IOM,Salah al-Din,Beygee,34.9391599,43.49065254,Spontaneous settlement,"Utility Maintenance
Shelter Upgrade
Capacity Building
Community Mobilization",,2018-02-05,Yes,50%-75%,Forced Displacement,None,No,18,79,7,10,9,11,16,20,2,4,2,0,0,1,0,2,1,0,2,3,0,10,5,0,0,0,0,0,0,,,Some presence,No,Less than half,There is moderate damage to primary building,,No,Yes,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,2,2,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,electrical points near water sources low and uncovered electrical points,No other basic needs mentioned,Don't know,,,,Yes,Yes,Yes,Yes,Yes,Yes,1,Yes,Yes,2,Don't know,,,none,8178699,e976c336-d96e-46c3-8be2-67a3a28e0df9,2019-12-18T06:50:19,,88
Ahmed Taha Unfinished Houses,IOM,Salah al-Din,Beygee,34.93817579,43.49159092,Spontaneous settlement,"Utility Maintenance
Shelter Upgrade
Awareness Session
Capacity Building",,2018-06-19,Yes,25%-50%,Forced Displacement,None,I don't know,15,77,8,12,10,13,11,17,3,3,3,0,0,1,1,1,2,0,2,0,0,11,4,0,0,0,0,0,0,,,Some presence,No,Less than half,There is moderate damage to primary building,,No,Yes,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,2,2,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring low and uncovered electrical points,No other basic needs mentioned,No,,,,Yes,Yes,Yes,Yes,Yes,Yes,1,Don't know,Yes,1,No,,,none,8178700,56c04a50-8ee4-4009-80d3-9d95c6a22d56,2019-12-18T06:50:20,,89
Tal-alzaatar Unfinished Houses,IOM,Salah al-Din,Beygee,34.94254245,43.48940689,Spontaneous settlement,"Utility Maintenance
Shelter Upgrade
Capacity Building
Community Mobilization",,2018-03-24,Yes,25%-50%,Forced Displacement,None,No,16,83,6,10,12,16,14,20,3,2,3,0,0,0,0,1,2,0,2,0,0,12,5,0,0,0,0,0,0,,,Some presence,No,Less than half,There is moderate damage to primary building,,No,Yes,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,1,2,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,low and uncovered electrical points,No other basic needs mentioned,No,,,,Yes,Yes,Yes,No,Yes,Yes,2,Yes,Yes,2,Don't know,,,none,8178702,6d8ebc8e-1fb4-4ef1-9246-b8f699452730,2019-12-18T06:50:23,,90
Rashed Houses,IOM,Salah al-Din,Beygee,34.94347535,43.48975583,Spontaneous settlement,"Capacity Building
Shelter Upgrade
Utility Maintenance
Awareness Session",,2018-08-12,Yes,50%-75%,Forced Displacement,None,I don't know,19,81,8,10,11,13,15,18,4,2,2,0,0,1,0,1,2,0,3,3,0,10,6,0,0,0,0,0,0,,,Some presence,No,Less than half,There is moderate damage to primary building,,No,Unknown,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,2,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,low and uncovered electrical points overloaded circuits,No other basic needs mentioned,Don't know,,,,Yes,Yes,Yes,Yes,No,Yes,1,Don't know,Yes,2,Don't know,,,none,8178703,0c7baea6-ea50-4b80-8633-6cdadadb4d44,2019-12-18T06:50:26,,91
Taher Unfinished Houses,IOM,Salah al-Din,Beygee,34.94181817,43.49094272,Spontaneous settlement,"Site Managment
Utility Maintenance
Shelter Upgrade
Awareness Session",,2018-06-15,Yes,50%-75%,Forced Displacement,None,I don't know,17,95,7,12,13,17,18,23,3,2,3,0,0,0,0,1,2,0,2,2,0,10,5,0,0,0,0,0,0,,,Some presence,No,Less than half,There is slight damage to primary building,,No,Yes,No,No,No,Half or more than half of the people are facing shortages,Shortages in are affecting everyone,1,2,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,low and uncovered electrical points Poor wiring,No other basic needs mentioned,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,2,Don't know,Yes,2,No,,,none,8178704,fc2444d4-a646-4232-9de3-fa11ddf30547,2019-12-18T06:50:27,,92
Jasim Houses Structure,IOM,Salah al-Din,Beygee,34.9381333,43.47646926,Spontaneous settlement,"Utility Maintenance
Shelter Upgrade
Garbage Disposal
Awareness Session",,2019-05-28,Yes,50%-75%,Forced Displacement,None,I don't know,16,88,8,10,12,15,17,20,4,2,2,0,0,0,0,1,2,0,3,1,0,11,4,0,0,0,0,0,0,,,Some presence,No,Less than half,There is moderate damage to primary building,,No,Yes,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,2,2,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,electrical points near water sources low and uncovered electrical points,No other basic needs mentioned,No,,,,No,,,,,Yes,1,Yes,Yes,2,Yes,,,none,8178705,fd02885c-7500-4bad-9795-5358349806e2,2019-12-18T06:50:30,,93
Al-Mahatah camp,IOM,Salah al-Din,Balad,33.95200116,44.15558369,Self settled camp,Shelter upgrade.  Capacity building.  Site management.  Livelihood support,Government,2018-04-05,No,,Forced Displacement,Private,I don't know,75,103,10,12,14,17,20,24,4,2,2,0,0,0,0,1,3,0,2,40,30,0,0,0,5,0,0,0,0,0,,Extensive presence,No,Everyone,There is severe damage to primary building,,Yes,Yes,No,No,No,Shortages in are affecting everyone,Shortages in are affecting everyone,4,3,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site Poor wiring low and uncovered electrical points electrical points near water sources,No other basic needs mentioned,No,,,,Yes,Yes,Yes,Yes,Yes,Don't know,,,Yes,4,,None,,None,8178712,121c06c6-ee99-4835-9942-236f82a6a596,2019-12-18T06:51:14,,94
Ishaqi camp,IOM,Salah al-Din,Balad,34.04773129,43.98313425,Self settled camp,Shelter upgrade.  Site management.  Livelihood support. Awareness session,None,2016-10-03,No,,Forced Displacement,Private,No,60,98,9,11,13,16,10,30,6,3,6,0,0,0,0,1,2,0,2,60,0,0,0,0,0,0,0,0,0,0,,Extensive presence,No,Everyone,There is no primary building at the site,,No,Yes,No,No,No,Shortages in are affecting everyone,Shortages in are affecting everyone,3,3,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site Poor wiring low and uncovered electrical points,No other basic needs mentioned,Yes,Yes,Yes,Yes,No,,,,,Yes,2,Yes,Yes,4,Yes,None,,None ,8178714,d3e066fd-b32f-44b4-b6e5-98bb917cbf4c,2019-12-18T06:51:15,,95
Ishaqi School,IOM,Salah al-Din,Balad,34.04604228,43.98580195,Spontaneous settlement,Livelihood support.  Site management.  Shelter upgrade. Capacity building,Government,2016-07-22,No,,Forced Displacement,Private,I don't know,14,82,7,9,11,13,18,20,3,1,2,0,0,0,0,0,4,0,3,0,0,0,0,0,14,0,0,0,0,0,,Extensive presence,No,Everyone,There is severe damage to primary building,,No,Yes,No,No,Yes,Shortages in are affecting everyone,Shortages in are affecting everyone,4,3,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site Poor wiring low and uncovered electrical points electrical points near water sources,No other basic needs mentioned,Yes,Yes,Yes,Yes,No,,,,,Yes,2,Yes,Yes,3,Yes,None,,None ,8178715,7a4c2ecf-3115-4545-814b-bdce7ef665f1,2019-12-18T06:51:16,,96
Ishaqi Market,IOM,Salah al-Din,Balad,34.04576766,43.98438175,Spontaneous settlement,Livelihood support.  Site management.  Capacity building.  Shelter upgrade,None,2016-06-09,No,,Forced Displacement,Private,I don't know,10,64,5,7,10,11,12,16,2,1,2,0,0,0,0,1,2,0,1,0,5,0,0,0,0,0,5,0,0,0,,Extensive presence,No,Half of more,There is moderate damage to primary building,,No,Yes,No,No,Yes,Half or more than half of the people are facing shortages,Shortages in are affecting everyone,2,2,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site Poor wiring low and uncovered electrical points,No other basic needs mentioned,Yes,Yes,Yes,Yes,Don't know,,,,,Yes,3,Yes,Yes,4,Yes,None,,None ,8178716,7807b046-d8b9-4ffa-8027-b6b79663174b,2019-12-18T06:51:17,,97
Ghazi Departments,IOM,Salah al-Din,Balad,34.04803756,43.99127986,Spontaneous settlement,Shelter upgrade.  Site management.  Capacity building. Livelihood support,None,2016-01-08,No,,Forced Displacement,Private,No,16,76,6,8,11,13,15,18,3,2,3,0,0,0,0,0,1,0,2,0,0,0,16,0,0,0,0,0,0,0,0,Extensive presence,No,Half of more,There is moderate damage to primary building,,No,Yes,No,No,Yes,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,4,3,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,low and uncovered electrical points Poor wiring electrical points near water sources,No other basic needs mentioned,Yes,Yes,Yes,Yes,No,,,,,Yes,3,Yes,Yes,4,Yes,None,,None ,8178717,7a85c715-7ff9-483e-a077-b67d8ee201ff,2019-12-18T06:51:18,,98
Al- Zouhour School,IOM,Salah al-Din,Tikrit,34.5922101,43.66149618,Spontaneous settlement,"Shelter Upgrade
Capacity Building
Risk Reducation
Utility Maintenance",,2016-07-16,No,,Forced Displacement,None,No,15,75,5,7,10,13,15,18,4,3,3,0,0,1,0,1,2,0,3,7,0,2,6,0,0,0,0,0,0,,,No presence,No,Half of more,There is moderate damage to primary building,,No,Yes,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,0,3,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring low and uncovered electrical points electrical points near water sources,No other basic needs mentioned,No,,,,Yes,Yes,Yes,Yes,Yes,Yes,1,Yes,Yes,1,Yes,None,,None,8195765,0fcd570c-3ea7-447d-b105-abbe2420ff74,2019-12-19T11:56:13,,99
Al- Ahrar School,IOM,Salah al-Din,Tikrit,34.5911085,43.66572056,Spontaneous settlement,"Capacity Building
Shelter Upgrade
Community Mobilization 
Awareness Session",,2016-05-20,No,,Forced Displacement,None,I don't know,15,52,4,3,8,7,12,13,3,2,2,0,0,0,0,14,1,0,2,0,0,6,9,0,0,0,0,0,0,0,,Some presence,No,Half of more,There is slight damage to primary building,,No,Yes,No,No,No,Less than half of the people are facing shortages,Half or more than half of the people are facing shortages,1,2,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring No electricity in whole site low and uncovered electrical points,No other basic needs mentioned,No,,,,Yes,Yes,Don't know,Don't know,Yes,Yes,1,Don't know,Yes,1,Don't know,,,,8339678,d4b8683b-9fb5-4c44-9001-f1ce46cfad42,2020-01-13T10:14:37,,117
Al-Bo Ubaid Mod Sector,IOM,Salah al-Din,Tikrit,34.58941037,43.65829305,Spontaneous settlement,"Community Mobilization
Maintenance
Shelter Upgrade
Capacity Building",,2017-05-18,No,,Forced Displacement,None,No,20,89,8,10,12,14,17,22,4,2,4,0,0,1,0,1,1,0,3,10,0,5,3,0,0,0,0,0,0,,,Some presence,No,Half of more,There is severe damage to primary building,,No,Unknown,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,3,2,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site Poor wiring low and uncovered electrical points,No other basic needs mentioned,Yes,Yes,Don't know,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,1,No,Yes,2,Don't know,,,,8339679,84e6eab5-0620-4da6-b3f5-86e76cd964ae,2020-01-13T10:14:38,,118
Al-Bo Ubaid Houses,IOM,Salah al-Din,Tikrit,34.58952644,43.6584701,Spontaneous settlement,"Community Mobilization
Capacity Buikding
Shelter Upgrade
Maintenance",,2017-03-09,Not known,,Forced Displacement,None,I don't know,19,69,9,6,11,13,10,15,3,2,3,0,0,1,0,1,2,0,2,8,0,3,8,0,0,0,0,0,0,,,Some presence,No,Half of more,There is severe damage to primary building,,No,Yes,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,2,3,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring No electricity in whole site electrical points near water sources,No other basic needs mentioned,No,,,,Yes,Yes,No,Don't know,Yes,Yes,2,No,Yes,2,Don't know,,,,8339680,adcdcc3c-eb30-401f-9b0d-65f819287de3,2020-01-13T10:14:40,,119
Al-Zouhour,IOM,Salah al-Din,Tikrit,34.58625036,43.67457664,Spontaneous settlement,"Community Mobilization
Shelter Upgrade
Maintenance 
Awareness Session",,2017-10-10,No,,Forced Displacement,None,I don't know,15,58,8,4,7,9,11,13,4,2,2,0,0,0,0,0,1,0,2,0,0,5,6,0,0,0,0,0,0,,,Some presence,No,Half of more,There is moderate damage to primary building,,No,Unknown,No,No,No,Half or more than half of the people are facing shortages,Shortages in are affecting everyone,2,2,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring electrical points near water sources,No other basic needs mentioned,Don't know,,,,Yes,No,Yes,Don't know,Yes,Yes,2,Don't know,Yes,2,Don't know,,,,8339681,b4fc36e0-55d2-4157-a351-48f441755a49,2020-01-13T10:14:41,,120
Sheshen Str,IOM,Salah al-Din,Tikrit,34.59353281,43.68315185,Spontaneous settlement,"Maintenance
shelter Upgrade
community Mobilization
capacity Building",,2017-03-05,No,,Forced Displacement,None,No,15,62,7,9,10,9,10,12,3,2,1,0,0,0,0,0,0,0,2,0,0,5,3,0,0,0,0,0,0,0,,Some presence,No,Half of more,There is slight damage to primary building,,No,Unknown,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,2,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,overloaded circuits Poor wiring electrical points near water sources,No other basic needs mentioned,Yes,Yes,Don't know,No,Yes,Yes,Yes,Yes,Yes,Yes,3,No,Yes,2,No,,,,8339682,f739804a-175a-4eb1-a021-47c7c336336c,2020-01-13T10:14:42,,121
Furnace,IOM,Salah al-Din,Tikrit,34.60313364,43.6653138,Spontaneous settlement,"Shelter Upgrade
Maintenance
Capacity Building
Community Mobilization",,2016-04-12,No,,Forced Displacement,None,I don't know,16,62,8,4,13,7,11,13,4,2,2,0,0,0,0,1,2,0,2,0,0,5,3,0,0,0,0,0,0,0,,Some presence,No,Half of more,There is moderate damage to primary building,,No,Yes,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,2,2,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,electrical points near water sources low and uncovered electrical points No electricity in whole site,No other basic needs mentioned,Yes,Don't know,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,1,Don't know,Yes,2,Don't know,,,,8339683,17740a29-007c-42e3-89e0-9e25d024ee26,2020-01-13T10:14:43,,122
Ganous Khumesat,COAFISR,Salah al-Din,Samarra,35.53881,43.22252,Spontaneous settlement,"??????? ??? ???? ?????? ??????? ????? ???.",?????? ????,2019-09-18,Yes,50%-75%,????? ??????,None,No,45,438,77,88,67,67,26,98,7,8,27,0,0,14,5,19,9,0,38,12,6,0,0,0,0,0,27,0,0,0,,Extensive presence,No,Everyone,There is severe damage to primary building,????? ???,No,Yes,No,No,No,Half or more than half of the people are facing shortages,Less than half of the people are facing shortages,27,30,Yes,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring low and uncovered electrical points electrical points near water sources,Not available or not sufficient,Yes,No,No,No,No,,,,,Yes,0,No,Yes,1,No,?? ????,,,8250318,063872de-82f3-416d-b7e4-cfc500fb1d7b,2019-12-25T18:47:16,,106
Ganous Imam,COAFISR,Salah al-Din,Al-Shirqat,35.674601,43.290606,Dispersed Settlements,???? ????? ??????? ?????? ????,????? ??? ?????? ??,2019-10-08,No,,??????? ??? ?????? ?? ??????,Private,No,84,593,90,110,135,90,64,94,2,8,30,0,0,4,5,11,10,0,30,0,0,14,70,0,0,0,0,0,0,84,???? ????? ? ?????,Some presence,No,Half of more,There is moderate damage to primary building,,No,Yes,No,No,No,Half or more than half of the people are facing shortages,Shortages in are affecting everyone,35,28,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,low and uncovered electrical points,No other basic needs mentioned,No,,,,No,,,,,Yes,1,No,No,,No,?? ????,,,8254921,36660821-6f8a-437b-9368-3f7bf1dd083b,2019-12-26T14:47:22,,108
Mujamaat,COAFISR,Salah al-Din,Al-Shirqat,35.532674,43.227961,Spontaneous settlement,"????? ???????????? ?????? ??????? ??? ???.",?????? ????,2019-12-26,Yes,50%-75%,????? ??????,None,No,42,253,28,29,12,18,72,54,23,17,11,0,0,13,1,27,7,0,12,5,0,0,0,0,0,0,37,0,0,0,0,Some presence,No,Half of more,There is moderate damage to primary building,?? ????? ???? ???????,No,Yes,No,No,No,Less than half of the people are facing shortages,Less than half of the people are facing shortages,34,6,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring low and uncovered electrical points electrical points near water sources,Not available or not sufficient,No,,,,No,,,,,Yes,1,No,No,,No,?? ????,,,8256070,185e12e7-a4e5-4198-891b-737f1be80448,2019-12-26T16:53:11,,112
Feleta,COAFISR,Salah al-Din,Al-Shirqat,35.523216,43.232394,Dispersed Settlements,"???? ?????? ? ?????? ? ?????? ???? ????",?? ????,2019-10-01,No,,????? ????????,Private,No,51,465,62,43,33,41,120,163,3,0,13,0,0,2,0,6,9,1,5,14,0,0,0,0,0,0,0,0,0,37,???? ????? ? ????,Some presence,No,Half of more,There is slight damage to primary building,?????? ?????,No,Yes,No,No,No,Less than half of the people are facing shortages,Less than half of the people are facing shortages,17,20,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Poor wiring low and uncovered electrical points overloaded circuits,Not available or not sufficient,Yes,Yes,Yes,Yes,No,,,,,Yes,1,No,Yes,1,No,?? ????,,,8255204,c634482d-aee7-4a6a-bf91-014a9f1e060f,2019-12-26T16:24:12,,109
Lazaga,COAFISR,Salah al-Din,Al-Shirqat,35.538596,43.227811,Spontaneous settlement,"??? ???? ?????? ??????? nfi, ????? ??????.",????? ????,2019-08-01,Yes,50%-75%,????? ??????,None,No,49,256,64,37,43,52,23,25,5,7,19,0,0,10,3,18,4,0,26,3,2,0,0,0,0,0,44,0,0,0,0,Some presence,No,Less than half,There is moderate damage to primary building,"?????? ???????????? ????? ??????? ?????????? ??? ????? ?????..",No,Yes,No,No,No,Less than half of the people are facing shortages,All needs are met,39,37,Yes,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Poor wiring,Not available or not sufficient,No,,,,No,,,,,Yes,1,No,No,,No,?????? ??????,,,8235570,2648d731-48e1-4cfa-8eeb-99afc2751520,2019-12-23T16:20:04,,103
Eitha,COAFISR,Salah al-Din,Al-Shirqat,35.62486,43.222377,Self settled camp,??? ????? ??????? ?????? ???? ??? ?????,???,2019-10-09,Yes,50%-75%,???? ????,None,No,108,400,58,56,76,82,30,77,11,10,64,0,0,9,3,4,2,0,88,69,4,4,22,0,0,0,5,0,0,0,???? ???,Some presence,No,Everyone,There is severe damage to primary building,,No,No,No,No,No,Shortages in are affecting everyone,Shortages in are affecting everyone,41,22,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,low and uncovered electrical points,No other basic needs mentioned,Yes,Don't know,Don't know,Don't know,No,,,,,Yes,1,Don't know,Yes,1,Don't know,??? ?????,,,8219675,0b95e697-0f0e-4086-9070-600698239503,2019-12-22T11:38:58,,100
